DateDay	Financial Crisis_unscaled	Depression_unscaled	Bailout_unscaled	Mortgage Crisis_unscaled	Wall Street_unscaled	Oil_unscaled	Stock Market_unscaled	Subprime_unscaled	loan_unscaled	core inflation_unscaled	debt_unscaled	Brent_unscaled	WTI_unscaled	metals_unscaled	inflation_unscaled	economics_unscaled	stocks_unscaled	gold_unscaled	silver_unscaled	S&P 500_unscaled
2007-09-11	33	71	29	59	69	96	65	18	79	0	82	71	0	93	39	67	52	85	64	59
2007-09-12	0	87	0	0	63	87	56	67	75	0	62	48	50	100	70	100	62	92	62	45
2007-09-13	0	84	0	30	73	96	59	37	81	0	66	49	51	77	51	74	67	90	71	31
2007-09-14	0	78	0	0	69	84	59	32	70	0	56	48	0	90	50	54	92	90	68	32
2007-09-15	0	72	0	0	49	82	32	9	71	0	34	74	0	31	35	41	71	94	84	0
2007-09-16	50	65	0	90	46	93	19	27	70	0	39	73	0	30	25	38	66	92	70	69
2007-09-17	0	84	59	30	71	92	53	42	81	0	73	59	100	84	100	70	67	83	67	60
2007-09-18	0	88	0	0	80	100	93	76	100	0	68	54	0	67	94	80	82	92	70	73
2007-09-19	0	88	29	0	83	97	97	54	87	0	100	71	0	98	78	82	98	83	78	60
2007-09-20	0	87	30	30	100	91	77	30	84	0	71	73	0	96	63	58	72	100	78	15
2007-09-21	0	85	64	64	80	96	75	58	68	0	62	100	0	99	57	75	84	90	74	16
2007-09-22	0	92	0	0	59	78	32	45	70	0	48	52	0	36	15	59	65	85	76	0
2007-09-23	0	65	0	0	32	84	19	45	47	0	40	51	0	42	54	59	74	82	82	0
2007-09-24	33	68	29	58	65	96	61	12	77	0	69	77	0	74	65	72	49	86	78	29
2007-09-25	0	96	29	0	63	94	60	24	80	0	77	47	48	81	51	77	92	89	77	44
2007-09-26	0	90	30	30	86	100	86	30	86	0	59	47	49	66	49	67	72	84	70	60
2007-09-27	100	85	0	30	64	91	68	24	69	0	68	66	50	68	56	68	100	86	75	75
2007-09-28	0	83	0	0	67	86	100	19	77	0	52	73	53	85	46	67	73	94	84	32
2007-09-29	0	48	0	0	44	79	36	37	72	0	40	75	0	43	46	31	52	89	99	23
2007-09-30	0	72	0	45	54	79	45	18	53	0	30	58	0	36	45	57	63	92	100	68
2007-10-01	49	90	66	52	100	82	76	42	78	0	57	56	35	54	87	65	78	82	75	46
2007-10-02	48	61	0	0	73	79	74	51	85	64	67	73	69	58	64	76	86	78	80	23
2007-10-03	0	59	0	0	71	84	61	72	90	65	84	56	0	81	64	68	73	84	85	91
2007-10-04	100	71	0	53	80	80	74	21	82	0	70	57	0	51	87	64	65	88	100	47
2007-10-05	0	63	0	56	48	68	79	67	81	0	60	57	76	48	60	54	90	88	80	100
2007-10-06	0	24	0	0	29	73	35	0	52	0	69	37	0	9	14	47	72	95	93	18
2007-10-07	0	69	0	0	63	87	44	0	61	0	57	41	0	9	40	69	85	100	99	36
2007-10-08	100	71	0	0	80	88	99	21	81	0	60	57	0	42	100	51	63	81	80	35
2007-10-09	0	68	0	51	79	83	90	71	73	0	70	61	35	91	89	86	69	82	86	34
2007-10-10	48	67	0	0	74	82	42	20	87	0	75	37	34	43	67	55	75	89	66	34
2007-10-11	0	64	0	53	70	78	97	95	86	0	67	64	0	57	97	58	98	80	80	47
2007-10-12	0	49	72	0	55	80	77	45	74	0	75	48	0	51	75	64	93	80	79	37
